Spell,Description
Retinal Glare,Deals light damage to enemies in a fan-shaped area originating from the caster. Additional effect: Flash.
Goblin Rush,Delivers a threefold attack. Accuracy varies with TP.
Sinker Drill,Delivers a fivefold attack. Damage varies with TP.
Blood Drain,Steals an enemy's HP. Ineffective against undead.
Plasma Charge,Covers you with magical lightning spikes. Enemies that hit you take lightning damage.
Glutinous Dart,Damage Varies With TP
Blinding Fulgor,Deals light damage to enemies within range. Additional effect: Flash
O. Counterstance,Increases the caster's chance of countering.
Ram Charge,Damage varies with TP.
Vapor Spray,Deals water breath damage to enemies within a fan-shaped area originating from the caster.
Pyric Bulwark,Resists physical damage.
Sandspin,Deals earth damage to enemies within range. Additional effect: Accuracy Down.
Frenetic Rip,Delivers a threefold attack. Damage varies with TP.
Bomb Toss,Throws a bomb at an enemy.
Bloodrake,Delivers a threefold attack. Damage varies with TP. Additional effect: HP Drain.
Blitzstrahl,"Deals lightning damage to an enemy. Additional effect: ""Stun."""
Enervation,Lowers the defense and magical defense of enemies within range.
Cannonball,Damage varies with TP.
Battery Charge,Gradually restores MP.
Leafstorm,Deals wind damage to enemies within area of effect.
Plenilune Embrace,Restores target party member's HP and enhances attack and magic attack..
Polar Roar,Deals ice damage to enemies within range. Additional effect: Bind
Cursed Sphere,Deals water damage to enemies within area of effect.
Winds of Promyvion,Removes one detrimental magic effect for party members within area of effect.
Queasyshroom,Additional Effect: Poison. Duration of effect varies with TP.
Voracious Trunk,Steals one beneficial effect from an enemy.
Wind Breath,Deals wind breath damage to enemies within a fan-shaped area originating from the caster.
Magic Barrier,Grants a Magic Shield effect.
Saurian Slide,Additional effect: Weakens attacks. Damage varies with TP.
Infrasonics,Lowers the evasion of enemies within a fan-shaped area originating from the caster.
Corrosive Ooze,Deals water damage to an enemy. Additional effect: Weakens attack and defense.
Absolute Terror,Freezes target in fear.
Geist Wall,Removes one beneficial magic effect from enemies within range.
Uppercut,Damage varies with TP.
Cocoon,Enhances defense.
Benthic Typhoon,Lowers target's defense and magic defense. Damage varies with TP.
Digest,Steals an enemy's HP. Ineffective against undead.
Final Sting,Deals damage proportional to HP. Reduces HP to 1 after use. Damage varies with TP.
Carcharian Verve,Enhances attack and magic attack. Reduces spell interruption rate.
Delta Thrust,Delivers a threefold attack. Additional effect: Plague. Chance of effect varies with TP.
Sweeping Gouge,Delivers a twofold attack. Additional effect: Weakens defense. Duration of effect varies with TP.
Paralyzing Triad,Delivers a threefold attack. Additional effect: Paralysis. Damage varies with TP.
1000 Needles,Shoots multiple needles at enemies within range.
Bilgestorm,"Delivers an area attack. Additional effect duration varies with TP. Additional effect: Lowers attack, defense, and accuracy."
Tourbillion,Delivers an area attack. Additional effect duration varies with TP. Additional effect: Weakens defense.
Dimensional Death,Damage varies with TP.
Sudden Lunge,"Damage varies with TP. Additional effect: ""Stun."""
Demoralizing Roar,Weakens the attack of enemies within range.
Harden Shell,Enhances defense.
Sickle Slash,Deals critical damage. Chance of critical hit varies with TP.
Sandspray,Blinds enemies within a fan-shaped area originating from the caster.
Pollen,Restores HP.
Sheep Song,Puts all enemies within range to sleep.
Magnetite Cloud,Deals earth damage to enemies within a fan-shaped area originating from the caster. Additional effect: Weight.
Hysteric Barrage,Delivers a fivefold attack. Damage varies with TP.
Jet Stream,Delivers a threefold attack. Accuracy varies with TP.
Radiant Breath,Deals light damage to enemies within a fan-shaped area of effect originating from the caster. Additional effect: Slow and Silence.
Rending Deluge,Deals water damage to enemies within area of effect. Additional effect: Dispel.
Uproot,Deals light damage to enemies within range. Also removes status ailments from caster.
Poison Breath,Deals water damage to enemies within a fan-shaped area originating from the caster. Additional effect: Poison.
Palling Salvo,Deals dark damage to enemies within range. Additional effect: Bio.
Thermal Pulse,Deals fire damage to enemies within area of effect. Additional effect: Blindness.
Embalming Earth,Deals earth damage to enemies within area of effect. Additional effect: Slow
Mighty Guard,"Increases own defense, magic defenses, and attack speed, and gradually restores own HP."
Vanity Dive,Damage varies with TP.
Yawn,Puts all enemies within range to sleep.
Blastbomb,Deals fire damage to enemies within area of effect. Additional Effect: Bind
Chaotic Eye,Silences an enemy.
Awful Eye,Lowers Strength of enemies within a fan-shaped area originating from the caster.
Tenebral Crush,Deals dark damage to enemies within range. Additional effect: Weakens defense.
Screwdriver,Deals critical damage. Chance of critical hit varies with TP.
Cesspool,
Frightful Roar,Weakens defense of enemies within range.
Molting Plumage,Deals wind damage to enemies within a fan-shape in front of the caster.
Thunderbolt,"Deals Lightning damage to enemies within the area of effect. Additional effect: ""Stun."""
Terror Touch,Additional effect: Weakens attacks. Accuracy varies with TP.
Water Bomb,Deals water damage to enemies within area of effect. Additional effect: Silence.
Bad Breath,Deals earth damage that inflicts multiple status ailments on enemies within a fan-shaped area originating from the caster.
Evryone. Grudge,Deals dark damage to an enemy.
Sound Blast,Lowers Intelligence of enemies within range.
Acrid Stream,Deals water damage to enemies within a fan-shaped area originating from the caster. Additional effect: Lowers target's magic defense.
Asuran Claws,Delivers a sixfold attack. Accuracy varies with TP.
Osmosis,Steals an enemy's HP and one beneficial status effect. Ineffective against undead.
Lowing,Gives enemies within range a powerful disease that prevents recovery of HP and MP.
Quadrastrike,Delivers a fourfold attack. Chance of critical hit varies with TP.
Dark Orb,Deals dark elemental damage to an enemy.
Disseverment,Delivers a fivefold attack. Additional effect: Poison. Accuracy varies with TP.
Death Ray,Deals dark damage to an enemy.
Dream Flower,Puts all enemies within range to sleep.
Tempest Upheaval,Deals wind damage to enemies within area of effect.
Helldive,Damage varies with TP.
Self-Destruct,Sacrifices HP to damage enemies within range. Affects caster with Weakness.
Occultation,Creates shadow images that each absorb a single attack directed at you.
Exuviation,Restores HP and removes on detrimental magic effect.
Frost Breath,Deals ice damage to enemies within a fan-shaped area originating from the caster. Additional effect: Paralysis.
Light of Penance,"Reduces an enemy's TP. Additional effect: Blindness and ""Bind."""
Jettatura,Enemies within a fan-shaped area originating from the caster are frozen with fear.
Eyes On Me,Deals dark damage to an enemy.
Spiral Spin,Additional effect: Lowers accuracy. Chance of effect varies with TP.
Regurgitation,Deals Water damage to an enemy. Additional Effect: Bind.
Blazing Bound,Deals fire damage to an enemy.
Saline Coat,Saline Coat
MP Drainkiss,Steals an enemy's MP. Ineffective against undead.
Erratic Flutter,Increases attack speed.
